datetime,open,high,low,close,tick_volume,volume,spread
2020-12-31 00:00:00,103.18,103.229,102.995,103.015,20639,0,0
2020-12-31 12:00:00,103.014,103.316,102.997,103.253,24296,0,0
2021-01-04 00:00:00,103.121,103.316,102.712,102.745,29009,0,0
2021-01-04 12:00:00,102.745,103.252,102.714,103.126,42771,0,0
2021-01-05 00:00:00,103.1,103.191,102.814,102.837,30602,0,0
2021-01-05 12:00:00,102.837,102.949,102.605,102.711,38471,0,0
2021-01-06 00:00:00,102.701,102.885,102.591,102.863,46243,0,0
2021-01-06 12:00:00,102.863,103.444,102.757,103.036,51799,0,0
2021-01-07 00:00:00,103.032,103.585,102.951,103.567,36491,0,0
2021-01-07 12:00:00,103.567,103.957,103.51,103.795,45057,0,0
2021-01-08 00:00:00,103.796,104.092,103.762,103.809,35087,0,0
2021-01-08 12:00:00,103.81,104.069,103.604,103.967,54494,0,0
2021-01-11 00:00:00,103.843,104.22,103.832,104.105,27901,0,0
2021-01-11 12:00:00,104.104,104.4,104.072,104.255,35539,0,0
2021-01-12 00:00:00,104.261,104.325,104.1,104.16,28640,0,0
2021-01-12 12:00:00,104.161,104.333,103.72,103.752,36998,0,0
2021-01-13 00:00:00,103.753,103.866,103.526,103.842,26761,0,0
2021-01-13 12:00:00,103.841,103.995,103.746,103.878,31593,0,0
2021-01-14 00:00:00,103.88,104.198,103.788,103.975,30788,0,0
2021-01-14 12:00:00,103.976,104.16,103.564,103.799,35640,0,0
2021-01-15 00:00:00,103.799,103.853,103.647,103.659,23570,0,0
2021-01-15 12:00:00,103.658,103.913,103.616,103.869,30161,0,0
2021-01-18 00:00:00,103.795,103.93,103.688,103.811,25205,0,0
2021-01-18 12:00:00,103.811,103.813,103.638,103.687,24606,0,0
2021-01-19 00:00:00,103.686,104.086,103.651,104.015,26809,0,0
2021-01-19 12:00:00,104.015,104.049,103.836,103.901,26421,0,0
2021-01-20 00:00:00,103.899,103.928,103.714,103.793,21675,0,0
2021-01-20 12:00:00,103.792,103.844,103.447,103.538,28296,0,0
2021-01-21 00:00:00,103.53,103.668,103.334,103.422,27155,0,0
2021-01-21 12:00:00,103.422,103.663,103.328,103.496,32954,0,0
2021-01-22 00:00:00,103.493,103.697,103.48,103.659,23370,0,0
2021-01-22 12:00:00,103.658,103.887,103.657,103.77,21412,0,0
2021-01-25 00:00:00,103.775,103.889,103.673,103.798,16226,0,0
2021-01-25 12:00:00,103.798,103.937,103.7,103.745,19278,0,0
2021-01-26 00:00:00,103.733,103.828,103.658,103.789,17397,0,0
2021-01-26 12:00:00,103.791,103.81,103.555,103.62,19503,0,0
2021-01-27 00:00:00,103.614,103.799,103.587,103.788,14728,0,0
2021-01-27 12:00:00,103.788,104.201,103.737,104.091,29606,0,0
2021-01-28 00:00:00,104.088,104.378,104.024,104.294,23137,0,0
2021-01-28 12:00:00,104.294,104.463,104.174,104.229,24959,0,0
2021-01-29 00:00:00,104.229,104.94,104.165,104.866,22560,0,0
2021-01-29 12:00:00,104.867,104.901,104.612,104.723,26020,0,0
2021-02-01 00:00:00,104.765,104.9,104.608,104.874,15304,0,0
2021-02-01 12:00:00,104.874,105.035,104.834,104.922,18628,0,0
2021-02-02 00:00:00,104.928,105.027,104.829,104.924,17459,0,0
2021-02-02 12:00:00,104.923,105.175,104.908,104.968,20987,0,0
2021-02-03 00:00:00,104.97,105.106,104.921,105.073,14506,0,0
2021-02-03 12:00:00,105.071,105.101,104.97,105.029,15836,0,0
2021-02-04 00:00:00,105.025,105.28,104.973,105.233,15750,0,0
2021-02-04 12:00:00,105.233,105.565,105.206,105.52,19270,0,0
2021-02-05 00:00:00,105.514,105.639,105.334,105.471,19442,0,0
2021-02-05 12:00:00,105.471,105.768,105.342,105.382,28644,0,0
2021-02-08 00:00:00,105.301,105.671,105.301,105.607,20193,0,0
2021-02-08 12:00:00,105.606,105.665,105.151,105.208,22249,0,0
2021-02-09 00:00:00,105.207,105.264,104.538,104.567,27344,0,0
2021-02-09 12:00:00,104.568,104.725,104.498,104.562,21253,0,0
2021-02-10 00:00:00,104.563,104.845,104.408,104.79,16753,0,0
2021-02-10 12:00:00,104.79,104.831,104.537,104.588,21529,0,0
2021-02-11 00:00:00,104.588,104.762,104.55,104.662,10655,0,0
2021-02-11 12:00:00,104.662,104.804,104.637,104.719,22093,0,0
2021-02-12 00:00:00,104.743,105.181,104.711,105.039,19258,0,0
2021-02-12 12:00:00,105.04,105.124,104.91,104.924,20103,0,0
2021-02-15 00:00:00,104.896,105.394,104.891,105.377,21362,0,0
2021-02-15 12:00:00,105.377,105.417,105.264,105.368,17417,0,0
2021-02-16 00:00:00,105.367,105.633,105.271,105.316,23321,0,0
2021-02-16 12:00:00,105.316,106.075,105.18,106.038,30250,0,0
2021-02-17 00:00:00,106.034,106.224,105.837,105.96,30506,0,0
2021-02-17 12:00:00,105.959,106.213,105.779,105.861,30616,0,0
2021-02-18 00:00:00,105.863,105.924,105.689,105.699,23639,0,0
2021-02-18 12:00:00,105.702,105.878,105.6,105.702,24198,0,0
2021-02-19 00:00:00,105.703,105.743,105.314,105.383,22168,0,0
2021-02-19 12:00:00,105.383,105.669,105.238,105.421,26630,0,0
2021-02-22 00:00:00,105.377,105.844,105.373,105.65,26460,0,0
2021-02-22 12:00:00,105.65,105.668,104.981,105.071,28484,0,0
2021-02-23 00:00:00,105.07,105.318,104.922,105.274,23959,0,0
2021-02-23 12:00:00,105.276,105.43,105.062,105.24,30581,0,0
2021-02-24 00:00:00,105.249,105.818,105.162,105.774,29957,0,0
2021-02-24 12:00:00,105.773,106.104,105.742,105.873,37690,0,0
2021-02-25 00:00:00,105.869,106.17,105.813,106.046,35284,0,0
2021-02-25 12:00:00,106.046,106.405,106.009,106.199,57907,0,0
2021-02-26 00:00:00,106.199,106.521,105.848,106.488,53066,0,0
2021-02-26 12:00:00,106.484,106.695,106.206,106.552,52639,0,0
2021-03-01 00:00:00,106.476,106.741,106.365,106.726,29394,0,0
2021-03-01 12:00:00,106.727,106.889,106.522,106.757,33186,0,0
2021-03-02 00:00:00,106.761,106.926,106.655,106.889,31721,0,0
2021-03-02 12:00:00,106.889,106.958,106.677,106.684,23341,0,0
2021-03-03 00:00:00,106.687,106.923,106.668,106.89,18594,0,0
2021-03-03 12:00:00,106.891,107.152,106.797,107.002,31223,0,0
2021-03-04 00:00:00,106.997,107.36,106.941,107.339,20779,0,0
2021-03-04 12:00:00,107.339,107.986,107.297,107.97,37970,0,0
2021-03-05 00:00:00,107.932,108.521,107.819,108.453,28287,0,0
2021-03-05 12:00:00,108.454,108.645,108.095,108.379,38845,0,0
2021-03-08 00:00:00,108.275,108.608,108.245,108.566,31053,0,0
2021-03-08 12:00:00,108.565,108.942,108.474,108.866,36785,0,0
2021-03-09 00:00:00,108.867,109.235,108.562,108.671,40560,0,0
2021-03-09 12:00:00,108.671,108.971,108.414,108.477,42055,0,0
2021-03-10 00:00:00,108.471,108.92,108.452,108.676,31610,0,0
2021-03-10 12:00:00,108.676,108.866,108.338,108.372,44431,0,0
2021-03-11 00:00:00,108.369,108.812,108.345,108.471,34564,0,0
2021-03-11 12:00:00,108.471,108.714,108.357,108.499,42247,0,0
2021-03-12 00:00:00,108.499,109.164,108.486,109.113,34998,0,0
2021-03-12 12:00:00,109.113,109.146,108.822,109.027,40094,0,0
2021-03-15 00:00:00,108.998,109.365,108.913,109.104,33201,0,0
2021-03-15 12:00:00,109.105,109.254,109.028,109.134,28954,0,0
2021-03-16 00:00:00,109.139,109.288,109.098,109.197,21973,0,0
2021-03-16 12:00:00,109.195,109.237,108.771,108.994,35774,0,0
2021-03-17 00:00:00,108.993,109.207,108.979,109.094,20559,0,0
2021-03-17 12:00:00,109.092,109.326,108.742,108.847,39471,0,0
2021-03-18 00:00:00,108.844,109.302,108.625,109.033,38758,0,0
2021-03-18 12:00:00,109.033,109.226,108.821,108.929,38681,0,0
2021-03-19 00:00:00,108.929,109.129,108.609,108.849,33767,0,0
